pmid,autor,nombres_originales,n_filiaciones,filiacion_ids
27419661,Piriz J,"[""Piriz Joaquin""]",2,"[""aff_623532a2745f8700"", ""aff_638dacceba6b8d0c""]"
27419661,Schinder A,"[""Schinder Alejandro F""]",1,"[""aff_f560b50e5f968676""]"
27419661,Uchitel O,"[""Uchitel Osvaldo Daniel""]",1,"[""aff_623532a2745f8700""]"
27431292,Bello E,"[""Bello E P""]",1,"[""aff_6542dac6e7b0ddf4""]"
27431292,Belluscio M,"[""Belluscio M A""]",1,"[""aff_9a3894a764dbe156""]"
27431292,Casas-Cordero R,"[""Casas-Cordero R""]",1,"[""aff_6542dac6e7b0ddf4""]"
27431292,Casey E,"[""Casey E""]",1,"[""aff_6542dac6e7b0ddf4""]"
27431292,Galinanes G,"[""Galiñanes G L""]",1,"[""aff_9a3894a764dbe156""]"
27431292,Murer M,"[""Murer M G""]",2,"[""aff_9a3894a764dbe156"", ""aff_f73937e0e22e9999""]"
27431292,Noain D,"[""Noaín D""]",1,"[""aff_6542dac6e7b0ddf4""]"
27431292,Rodriguez V,"[""Rodríguez V""]",1,"[""aff_6542dac6e7b0ddf4""]"
27431292,Rubinstein M,"[""Rubinstein M""]",2,"[""aff_4745d4c222c4d4ea"", ""aff_6542dac6e7b0ddf4""]"
27488203,Aban C,"[""Abán C""]",1,"[""aff_acad6906fc146de6""]"
27488203,Albamonte I,"[""Albamonte I""]",1,"[""aff_336d559d0a93ab0f""]"
27488203,Carou C,"[""Carou C""]",1,"[""aff_d3abee6767fd46ce""]"
27488203,Damiano A,"[""Damiano A""]",2,"[""aff_14f00333d118f1d3"", ""aff_16c47262ce39acb1""]"
27488203,Farina M,"[""Farina M""]",1,"[""aff_8a273ef1ab78d34a""]"
27488203,Franchi A,"[""Franchi A""]",1,"[""aff_2d837627df81b02b""]"
27488203,Leguizamon G,"[""Leguizamón G""]",1,"[""aff_a39237c59753476a""]"
27488203,Martinez N,"[""Martinez N""]",1,"[""aff_14f00333d118f1d3""]"
27488203,Seyahian A,"[""Seyahian A""]",1,"[""aff_14f00333d118f1d3""]"
27488203,Toro A,"[""Toro A""]",1,"[""aff_480d488e74261737""]"
27488203,Trigubo D,"[""Trigubo D""]",1,"[""aff_a39237c59753476a""]"
27521227,Araoz A,"[""Araoz Alicia""]",1,"[""aff_eaa59edc77a01795""]"
27521227,Ibarra F,"[""Ibarra Fernando R""]",1,"[""aff_b8b4ed077d98356b""]"
27521227,Marquez L,"[""Márquez Laura B""]",1,"[""aff_833389ea9e724f8f""]"
27521227,Repetto H,"[""Repetto Horacio A""]",1,"[""aff_90025ddadb9eef05""]"
27521227,Silberstein C,"[""Silberstein Claudia""]",1,"[""aff_35eb4f3a5a5d8b4e""]"
27527816,Alvarez R,"[""Alvarez Romina Soledad""]",1,"[""aff_b5a79ef2b453d0da""]"
27527816,Amaral M,"[""Amaral María M""]",1,"[""aff_b5a79ef2b453d0da""]"
27527816,Bruballa A,"[""Bruballa Andrea C""]",1,"[""aff_20b77bcd704663d1""]"
27527816,Ibarra C,"[""Ibarra Cristina""]",1,"[""aff_fcab07b7d888d141""]"
27527816,Mejias M,"[""Mejías María P""]",1,"[""aff_20b77bcd704663d1""]"
27527816,Palermo M,"[""Palermo Marina S""]",1,"[""aff_20b77bcd704663d1""]"
27527816,Sacerdoti F,"[""Sacerdoti Flavia""]",1,"[""aff_b5a79ef2b453d0da""]"
27568555,Avale M,"[""Avale María Elena""]",1,"[""aff_030479e2ce3470c0""]"
27568555,Flores-Barrera E,"[""Flores-Barrera Eden""]",1,"[""aff_db9a85fbd38a3bee""]"
27568555,Murer M,"[""Murer Mario Gustavo""]",1,"[""aff_95f2b25c237b1d7e""]"
27568555,Prost M,"[""Prost María Alejandra""]",1,"[""aff_95f2b25c237b1d7e""]"
27568555,Rela L,"[""Rela Lorena""]",1,"[""aff_95f2b25c237b1d7e""]"
27568555,Sanchez G,"[""Sánchez Gonzalo M""]",1,"[""aff_95f2b25c237b1d7e""]"
27568555,Taravini I,"[""Taravini Irene R E""]",1,"[""aff_f41748f58b45f25d""]"
27568555,Tseng K,"[""Tseng Kuei Y""]",1,"[""aff_db9a85fbd38a3bee""]"
27568555,Tubert C,"[""Tubert Cecilia""]",1,"[""aff_c468475c6b2a13e0""]"
27625602,De Oliveira L,"[""De Oliveira Laura A S""]",1,"[""aff_7bf61284bc2bf88d""]"
27625602,Della-Maggiore V,"[""Della-Maggiore Valeria""]",1,"[""aff_e9bc89904d44eca1""]"
27625602,Nogueira-Campos A,"[""Nogueira-Campos Anaelli A""]",1,"[""aff_361a75cd489d2577""]"
27625602,Rodrigues E,"[""Rodrigues Erika C""]",1,"[""aff_7bf61284bc2bf88d""]"
27625602,Saunier G,"[""Saunier Ghislain""]",1,"[""aff_9de42c9cf06932f5""]"
27625602,Vargas C,"[""Vargas Claudia D""]",1,"[""aff_5572db135a66575e""]"
27695468,Amodeo G,"[""Amodeo Gabriela""]",1,"[""aff_31270dcc04180389""]"
27695468,Chara O,"[""Chara Osvaldo""]",1,"[""aff_5a723dc47d19ac4a""]"
27695468,Ozu M,"[""Ozu Marcelo""]",1,"[""aff_d79374c81f3c9284""]"
27695468,Sutka M,"[""Sutka Moira""]",1,"[""aff_31270dcc04180389""]"
27695468,Vitali V,"[""Vitali Victoria""]",1,"[""aff_31270dcc04180389""]"
27733175,Andrews J,"[""Andrews J""]",1,"[""aff_3096e1df35581be8""]"
27733175,Canzonieri R,"[""Canzonieri R""]",1,"[""aff_9f68a053f8172122""]"
27733175,Costales-Collaguazo C,"[""Costales-Collaguazo C""]",1,"[""aff_bf3aef72481c723c""]"
27733175,Forrester M,"[""Forrester M""]",1,"[""aff_3096e1df35581be8""]"
27733175,Iriarte R,"[""Iriarte R""]",1,"[""aff_3096e1df35581be8""]"
27733175,Lombi M,"[""Lombi M""]",1,"[""aff_3096e1df35581be8""]"
27733175,Muryan A,"[""Muryan A""]",1,"[""aff_9f68a053f8172122""]"
27733175,Ortiz A,"[""Ortiz A""]",2,"[""aff_8e4e0251c391bfd6"", ""aff_a0c58bcca0fd4272""]"
27733175,Paulero M,"[""Paulero M""]",1,"[""aff_3096e1df35581be8""]"
27733175,Politei J,"[""Politei J""]",1,"[""aff_723bc24aa366ae97""]"
27733175,Pomeranz V,"[""Pomeranz V""]",1,"[""aff_3096e1df35581be8""]"
