Author1,Author2,Weight
Bruballa A,Palermo M,2
Correale J,Pasquini J,2
Lombardi P,Lores-Arnaiz S,2
Gomez G,Rela L,2
Karadayian A,Lores-Arnaiz S,2
Karadayian A,Lombardi P,2
Cutrera R,Lores-Arnaiz S,2
Amaral M,Repetto H,2
Cutrera R,Lombardi P,2
Cutrera R,Karadayian A,2
Keifman E,Moratalla R,2
Bustamante J,Lores-Arnaiz S,2
Bustamante J,Lombardi P,2
Bustamante J,Karadayian A,2
Amaral M,Girard M,2
Girard M,Ibarra C,2
Pomeranz V,Young P,2
Villar M,Viola H,2
Gingrich J,Weisstaub N,2
Azurmendi P,Sanchez D,2
Pisera-Fuster A,Rocco L,2
Corominas A,Medina Y,2
Igaz L,Viola H,2
Kasanetz F,Nevian T,2
Belforte J,Keifman E,2
Girard M,Repetto H,2
Castro-Parodi M,Szpilbarg N,2
Ibarra F,Sanchez D,2
Correale J,Marcora M,2
Repetto H,Sacerdoti F,2
Oddo E,Sanchez D,2
Girard M,Sacerdoti F,2
Bustamante J,Cutrera R,2
Gomez F,Jancic C,2
Arrizurieta E,Azurmendi P,2
Muryan A,Young P,2
Forrester M,Young P,2
Goette N,Vlachovsky S,2
Iriarte R,Young P,2
Lombi F,Young P,2
Moratalla R,Solis O,2
Ibarra C,Larzabal M,2
Paulero M,Young P,2
Arrizurieta E,Di Ciano L,2
Murer M,Solis O,2
Cataldi A,Larzabal M,2
Politei J,Young P,2
Bentancor A,Vilte D,2
Bentancor A,Mercado E,2
Bentancor A,Ibarra C,2
Canzonieri R,Young P,2
Goette N,Silberstein C,2
Mercado E,Zotta E,2
Araoz A,Young P,2
Goette N,Oddo E,2
Araoz A,Stern A,2
Araoz A,Politei J,2
Andrews J,Young P,2
Goette N,Ibarra F,2
Vilte D,Zotta E,2
Di Ciano L,Goette N,2
Azurmendi P,Goette N,2
Belforte J,Gomez G,2
Arrizurieta E,Oddo E,2
Arrizurieta E,Ibarra F,2
Keifman E,Paz R,2
Belforte J,Rela L,2
Amaral M,Reppetti J,2
Gomez F,Luz D,2
Casale R,Damiano A,2
Ibarra C,Sanchez D,2
Casal J,Toriano R,2
Amaral M,Balestracci A,2
Henrique I,Luz D,2
Henrique C,Sacerdoti F,2
Henrique C,Piazza R,2
Balestracci A,Ibarra C,2
Balestracci A,Sanchez D,2
Luz D,Quintilio W,2
Balestracci A,Silberstein C,2
Fischer Sigel L,Ibarra C,2
Henrique C,Luz D,2
Moro A,Piazza R,2
Henrique C,Henrique I,2
Ferreira R,Henrique I,2
Ferreira R,Henrique C,2
Amaral M,Henrique I,2
Amaral M,Henrique C,2
Luz D,Moro A,2
Bello E,Rubinstein M,2
Ibarra C,Quintilio W,2
Ibarra C,Piazza R,2
Ibarra C,Moro A,2
Casal J,Dorr R,2
Henrique I,Piazza R,2
Alvarez R,Mejias M,2
Katche C,Medina J,2
Alfieri J,Igaz L,2
Accialini P,Etcheverry T,2
Repetto H,Silberstein C,2
Accialini P,Farina M,2
Paton J,Repetto H,2
Beltramone N,Pizzoni A,2
Paton A,Repetto H,2
Accialini P,Martinez N,2
Gonzalez M,Medina J,2
Farina M,Seyahian A,2
Katche C,Weisstaub N,2
Henrique I,Sacerdoti F,2
Marquez L,Silberstein C,2
Marquez L,Repetto H,2
Quintilio W,Sacerdoti F,2
Piazza R,Quintilio W,2
Colazo A,Liern M,2
Colazo A,Vallejo G,2
Colazo A,Zotta E,2
Moro A,Sacerdoti F,2
Moro A,Quintilio W,2
Medina J,Weisstaub N,2
Alvarez R,Bruballa A,2
Balestracci A,Fischer Sigel L,2
