GeneID,Symbol,TaxID,PathwaySource,PathwayID,PathwayName
1499,CTNNB1,9606,netpath,Pathway_TGF_beta_Receptor,TGF_beta_Receptor
1499,CTNNB1,9606,netpath,Pathway_Wnt,Wnt
1499,CTNNB1,9606,pid,ajdiss_2pathway,Posttranslational regulation of adherens junction stability and dissassembly
1499,CTNNB1,9606,pid,ap1_pathway,AP-1 transcription factor network
1499,CTNNB1,9606,pid,ar_pathway,Coregulation of Androgen receptor activity
1499,CTNNB1,9606,pid,arf6_traffickingpathway,Arf6 trafficking events
1499,CTNNB1,9606,pid,betacatenin_deg_pathway,Degradation of beta catenin
1499,CTNNB1,9606,pid,betacatenin_nuc_pathway,Regulation of nuclear beta catenin signaling and target gene transcription
1499,CTNNB1,9606,pid,cdc42_pathway,CDC42 signaling events
1499,CTNNB1,9606,pid,ecadherin_keratinocyte_pathway,E-cadherin signaling in keratinocytes
1499,CTNNB1,9606,pid,ecadherin_nascentaj_pathway,E-cadherin signaling in the nascent adherens junction
1499,CTNNB1,9606,pid,ecadherin_stabilization_pathway,Stabilization and expansion of the E-cadherin adherens junction
1499,CTNNB1,9606,pid,foxopathway,FoxO family signaling
1499,CTNNB1,9606,pid,ilk_pathway,Integrin-linked kinase signaling
1499,CTNNB1,9606,pid,met_pathway,Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)
1499,CTNNB1,9606,pid,ncadherinpathway,N-cadherin signaling events
1499,CTNNB1,9606,pid,nectin_pathway,Nectin adhesion pathway
1499,CTNNB1,9606,pid,ps1pathway,Presenilin action in Notch and Wnt signaling
1499,CTNNB1,9606,pid,rac1_pathway,RAC1 signaling pathway
1499,CTNNB1,9606,pid,tgfbrpathway,TGF-beta receptor signaling
1499,CTNNB1,9606,pid,vegfr1_2_pathway,Signaling events mediated by VEGFR1 and VEGFR2
1499,CTNNB1,9606,pid,wnt_canonical_pathway,Canonical Wnt signaling pathway
1499,CTNNB1,9606,wikipathways,WP138,Androgen receptor signaling pathway
1499,CTNNB1,9606,wikipathways,WP1544,MicroRNAs in cardiomyocyte hypertrophy
1499,CTNNB1,9606,wikipathways,WP1591,Heart Development
1499,CTNNB1,9606,wikipathways,WP2036,TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway
1499,CTNNB1,9606,wikipathways,WP2064,Neural Crest Differentiation
1499,CTNNB1,9606,wikipathways,WP2118,Arrhythmogenic Right Ventricular Cardiomyopathy
1499,CTNNB1,9606,wikipathways,WP2272,Pathogenic Escherichia coli infection
1499,CTNNB1,9606,wikipathways,WP2355,Corticotropin-releasing hormone signaling pathway
1499,CTNNB1,9606,wikipathways,WP236,Adipogenesis
1499,CTNNB1,9606,wikipathways,WP2363,Gastric Cancer Network 2
1499,CTNNB1,9606,wikipathways,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway
1499,CTNNB1,9606,wikipathways,WP2572,Primary focal segmental glomerulosclerosis (FSGS)
1499,CTNNB1,9606,wikipathways,WP2853,Endoderm differentiation
1499,CTNNB1,9606,wikipathways,WP2858,Ectoderm Differentiation
1499,CTNNB1,9606,wikipathways,WP2870,Extracellular vesicle-mediated signaling in recipient cells
1499,CTNNB1,9606,wikipathways,WP306,Focal Adhesion
1499,CTNNB1,9606,wikipathways,WP3303,RAC1-PAK1-p38-MMP2 Pathway
1499,CTNNB1,9606,wikipathways,WP363,Wnt Signaling Pathway
1499,CTNNB1,9606,wikipathways,WP3664,Regulation of Wnt-B-catenin Signaling by Small Molecule Compounds
1499,CTNNB1,9606,wikipathways,WP3680,Association Between Physico-Chemical Features and Toxicity Associated Pathways
1499,CTNNB1,9606,wikipathways,WP3888,VEGFA-VEGFR2 Signaling Pathway
1499,CTNNB1,9606,wikipathways,WP3931,ESC Pluripotency Pathways
1499,CTNNB1,9606,wikipathways,WP3969,H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity
1499,CTNNB1,9606,wikipathways,WP3971,Role of Osx and miRNAs in tooth development
1499,CTNNB1,9606,wikipathways,WP399,Wnt signaling pathway and pluripotency
1499,CTNNB1,9606,wikipathways,WP4147,PTF1A related regulatory pathway
1499,CTNNB1,9606,wikipathways,WP4150,Wnt signaling in kidney disease
1499,CTNNB1,9606,wikipathways,WP4155,Endometrial cancer
1499,CTNNB1,9606,wikipathways,WP4216,Chromosomal and microsatellite instability in colorectal cancer
1499,CTNNB1,9606,wikipathways,WP4239,Epithelial to mesenchymal transition in colorectal cancer
1499,CTNNB1,9606,wikipathways,WP4258,LncRNA involvement in canonical Wnt signaling and colorectal cancer
1499,CTNNB1,9606,wikipathways,WP4262,Breast cancer pathway
1499,CTNNB1,9606,wikipathways,WP428,Wnt signaling
1499,CTNNB1,9606,wikipathways,WP4336,ncRNAs involved in Wnt signaling in hepatocellular carcinoma
1499,CTNNB1,9606,wikipathways,WP4352,Ciliary landscape
1499,CTNNB1,9606,wikipathways,WP4534,Mechanoregulation and pathology of YAP-TAZ via Hippo and non-Hippo mechanisms
1499,CTNNB1,9606,wikipathways,WP4540,Pathways Regulating Hippo Signaling
1499,CTNNB1,9606,wikipathways,WP4541,Hippo-Merlin Signaling Dysregulation
1499,CTNNB1,9606,wikipathways,WP4659,Gastrin signaling pathway
1499,CTNNB1,9606,wikipathways,WP4674,Head and Neck Squamous Cell Carcinoma
1499,CTNNB1,9606,wikipathways,WP4746,Thyroid hormones production and their peripheral downstream signaling effects
1499,CTNNB1,9606,wikipathways,WP4754,IL-18 signaling pathway
1499,CTNNB1,9606,wikipathways,WP4787,Osteoblast differentiation
1499,CTNNB1,9606,wikipathways,WP4816,TGF-beta receptor signaling in skeletal dysplasias
1499,CTNNB1,9606,wikipathways,WP4823,Genes controlling nephrogenesis
1499,CTNNB1,9606,wikipathways,WP4830,GDNF-RET signaling axis
