GeneConcept,Papers,Mentions,N_GeneIDs,GeneIDs,Symbols,N_species,TaxIDs,Organisms,Text_mentions
DRD1,6,6,2,"['13488', '1812']","['DRD1', 'Drd1']",1,[''],"['Homo sapiens', 'Mus musculus']","['D1 receptor', 'Drd1', 'dopamine D1 and D2 receptors', 'dopamine D1 receptor', 'dopamine D1/D5 receptor', 'dopamine D1/D5 receptors']"
AQP2,5,48,3,"['11827', '25386', '359']","['AQP2', 'Aqp2']",1,[''],"['Homo sapiens', 'Mus musculus', 'Rattus norvegicus']","['AQP2', 'Aquaporin 2', 'Aquaporin-2']"
CASP3,5,9,2,"['12367', '836']","['CASP3', 'Casp3']",1,[''],"['Homo sapiens', 'Mus musculus']","['caspase 3', 'caspase-3']"
BCL2,5,7,2,"['12043', '596']","['BCL2', 'Bcl2']",1,[''],"['Homo sapiens', 'Mus musculus']",['Bcl-2']
SLC9A1,4,22,3,"['20544', '24782', '6548']","['SLC9A1', 'Slc9a1']",1,[''],"['Homo sapiens', 'Mus musculus', 'Rattus norvegicus']","['NHE1', 'Na(+)/H(+) exchanger (NHE)-1', 'Na+ /H+ exchanger isoform 1', 'Na+/H+ exchanger isoform 1']"
PVALB,4,12,1,['19293'],['Pvalb'],1,[''],['Mus musculus'],"['PV', 'parvalbumin']"
CD4,4,8,2,"['24932', '920']","['CD4', 'Cd4']",1,[''],"['Homo sapiens', 'Rattus norvegicus']","['CD4', 'CD4+']"
BAX,4,6,1,['581'],['BAX'],1,[''],['Homo sapiens'],['Bax']
GFAP,4,6,2,"['14580', '30646']","['Gfap', 'gfap']",1,[''],"['Danio rerio', 'Mus musculus']","['GFAP', 'glial fibrillary acidic protein']"
VIM,4,6,2,"['7431', '81818']","['VIM', 'Vim']",1,[''],"['Homo sapiens', 'Rattus norvegicus']","['Vimentin', 'vimentin']"
GRIN1,3,19,1,['14810'],['Grin1'],1,[''],['Mus musculus'],"['Grin1', 'N-methyl-D-aspartate receptor', 'NMDA receptors', 'NMDAR', 'NMDAr']"
HIF1A,3,13,1,['3091'],['HIF1A'],1,[''],['Homo sapiens'],"['HIF-1alpha', 'hypoxia inducible factor (HIF)-1alpha', 'hypoxia inducible factor-1 alpha']"
VEGFA,3,10,2,"['7422', '83785']","['VEGFA', 'Vegfa']",1,[''],"['Homo sapiens', 'Rattus norvegicus']","['VEGF', 'VEGFA', 'vascular endothelial growth factor']"
ARC,3,9,3,"['11838', '23237', '54323']","['ARC', 'Arc']",1,[''],"['Homo sapiens', 'Mus musculus', 'Rattus norvegicus']","['Arc', 'activity-regulated cytoskeletal-associated protein', 'activity-regulated cytoskeleton-associated protein', 'arc']"
MAPK3,3,6,1,['26417'],['Mapk3'],1,[''],['Mus musculus'],['ERK1/2']
POMC,2,42,1,['18976'],['Pomc'],1,[''],['Mus musculus'],"['POMC', 'Pomc', 'Proopiomelanocortin', 'proopiomelanocortin']"
